name,image_url,info_url,sound_file
Pine Siskin,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/306420291/1800,https://ebird.org/species/pinsis,/sounds/XC880311 - Pine Siskin - Spinus pinus.mp3
Black-billed Magpie,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/302389441/1800,https://ebird.org/species/bkbmag1,/sounds/XC361480 - Black-billed Magpie - Pica hudsonia.mp3
Mountain Chickadee,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/302474581/1800,https://ebird.org/species/mouchi,/sounds/XC558338 - Mountain Chickadee - Poecile gambeli.mp3
White-crowned Sparrow,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/64978031/1800,https://ebird.org/species/whcspa,/sounds/XC285405 - White-crowned Sparrow - Zonotrichia leucophrys gambelii.mp3
Steller's Jay,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70582731/1800,https://ebird.org/species/stejay,/sounds/XC540298 - Steller's Jay - Cyanocitta stelleri.mp3
Broad-tailed Hummingbird,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/303992401/1800,https://ebird.org/species/brthum,/sounds/XC463255 - Broad-tailed Hummingbird - Selasphorus platycercus.mp3
Osprey,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60320581/1800,https://ebird.org/species/osprey/,/sounds/XC930122 - Western Osprey - Pandion haliaetus.mp3
Northern Flicker,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60403261/1800,https://ebird.org/species/norfli,/sounds/XC839869 - Northern Flicker - Colaptes auratus.wav
Violet-green Swallow,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305584951/1800,https://ebird.org/species/vigswa,/sounds/XC261347 - Violet-green Swallow - Tachycineta thalassina.mp3
Mountain Bluebird,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/303800251/1800,https://ebird.org/species/moublu,/sounds/XC441351 - Mountain Bluebird - Sialia currucoides.mp3